"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"30/09/2021","43.823,3","41.534,5","44.101,2","41.416,7","64,32K","5,50%"
"29/09/2021","41.536,8","41.023,1","42.571,2","40.815,0","48,21K","1,25%"
"28/09/2021","41.022,3","42.169,9","42.758,8","40.906,4","60,01K","-2,73%"
"27/09/2021","42.172,6","43.200,9","44.293,2","42.143,9","54,12K","-2,39%"
"26/09/2021","43.203,4","42.685,8","43.907,3","40.786,6","69,91K","1,21%"
"25/09/2021","42.686,8","42.818,7","42.959,3","41.714,5","46,35K","-0,31%"
"24/09/2021","42.819,9","44.867,4","45.112,0","40.908,5","128,88K","-4,57%"
"23/09/2021","44.869,2","43.550,7","44.949,8","43.090,1","74,54K","3,03%"
"22/09/2021","43.551,6","40.660,8","43.976,7","40.585,7","93,98K","7,13%"
"21/09/2021","40.651,3","43.012,3","43.619,3","39.646,8","142,55K","-5,18%"
"20/09/2021","42.870,6","47.240,8","47.323,9","42.547,1","77,96K","-9,25%"
"19/09/2021","47.238,7","48.299,9","48.341,9","46.866,6","41,98K","-2,21%"
"18/09/2021","48.306,7","47.283,9","48.761,0","47.070,5","43,64K","2,17%"
"17/09/2021","47.282,8","47.748,2","48.155,9","46.788,8","50,16K","-0,97%"
"16/09/2021","47.748,0","48.132,3","48.480,6","47.040,3","60,91K","-0,80%"
"15/09/2021","48.130,6","47.070,8","48.436,5","46.743,9","63,40K","2,24%"
"14/09/2021","47.077,5","44.950,2","47.247,6","44.718,7","65,33K","4,73%"
"13/09/2021","44.949,5","46.060,8","46.807,7","43.463,2","96,15K","-2,42%"
"12/09/2021","46.062,3","45.162,6","46.386,4","44.755,2","44,52K","1,99%"
"11/09/2021","45.161,9","44.844,9","45.975,6","44.766,6","41,58K","0,71%"
"10/09/2021","44.842,8","46.385,9","47.021,6","44.283,6","75,62K","-3,33%"
"09/09/2021","46.385,6","46.057,6","47.305,7","45.609,0","73,63K","0,70%"
"08/09/2021","46.061,4","46.774,1","47.316,9","44.493,7","100,48K","-1,54%"
